car_id,command,route_completion,sensor_0_distance,sensor_0_object_type,sensor_1_distance,sensor_1_object_type,sensor_2_distance,sensor_2_object_type,sensor_3_distance,sensor_3_object_type,sensor_4_distance,sensor_4_object_type,sensor_5_distance,sensor_5_object_type,sensor_6_distance,sensor_6_object_type,sensor_7_distance,sensor_7_object_type,sensor_8_distance,sensor_8_object_type,sensor_9_distance,sensor_9_object_type,sensor_10_distance,sensor_10_object_type,sensor_11_distance,sensor_11_object_type,sensor_12_distance,sensor_12_object_type,sensor_13_distance,sensor_13_object_type,sensor_14_distance,sensor_14_object_type,sensor_15_distance,sensor_15_object_type
player,keep_direction,0.03177913685490366,6.547005383792515,1.0,7.690182150725811,1.0,9.395565396257293,1.0,12.013016167040902,1.0,16.30054468189509,1.0,24.238044001630744,1.0,43.09734344744125,1.0,138.35587026203078,1.0,536.318624963833,1.0,331.6814041320888,1.0,199.66630801141517,1.0,144.10381277326567,1.0,114.09111316928623,1.0,95.76895777380108,1.0,83.83127505508065,1.0,75.82903768654755,1.0
player,keep_direction,0.03217637606558996,41.188021535170115,1.0,45.76072860290283,1.0,52.58226158502888,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.95217600652298,1.0,187.38937378977127,1.0,505.24292612331647,1.0,505.24292612331647,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758141,1.0,63.0520646681627,1.0,52.58226158502884,1.0,45.76072860290282,1.0,41.188021535170144,1.0
player,keep_direction,0.03257361527627625,41.188021535170115,1.0,45.76072860290283,1.0,52.58226158502888,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.95217600652298,1.0,187.38937378977127,1.0,504.24048422523526,1.0,504.24048422523526,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758137,1.0,63.05206466816264,1.0,52.58226158502888,1.0,45.76072860290286,1.0,41.188021535170144,1.0
player,keep_direction,0.03297085448696255,41.188021535170115,1.0,45.76072860290283,1.0,52.58226158502888,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.95217600652298,1.0,187.38937378977127,1.0,503.2380423271541,1.0,503.2380423271541,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758141,1.0,63.05206466816264,1.0,52.58226158502888,1.0,45.76072860290282,1.0,41.188021535170144,1.0
player,keep_direction,0.03336809369764885,41.188021535170115,1.0,45.76072860290283,1.0,52.58226158502888,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.95217600652298,1.0,187.38937378977127,1.0,502.235600429073,1.0,502.235600429073,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758137,1.0,63.05206466816264,1.0,52.58226158502888,1.0,45.76072860290282,1.0,41.188021535170144,1.0
player,keep_direction,0.033765332908335145,41.188021535170115,1.0,45.76072860290283,1.0,52.58226158502887,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.95217600652298,1.0,187.38937378977127,1.0,501.2331585309918,1.0,501.2331585309918,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758141,1.0,63.05206466816264,1.0,52.58226158502884,1.0,45.76072860290282,1.0,41.188021535170144,1.0
player,keep_direction,0.03416257211902144,41.188021535170115,1.0,45.76072860290283,1.0,52.58226158502887,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.95217600652298,1.0,187.38937378977127,1.0,500.23071663291057,1.0,500.23071663291057,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758137,1.0,63.05206466816264,1.0,52.58226158502888,1.0,45.76072860290282,1.0,41.188021535170144,1.0
player,keep_direction,0.034559811329707736,41.18802153517013,1.0,45.76072860290282,1.0,52.58226158502887,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.95217600652298,1.0,187.38937378977127,1.0,499.2282747348294,1.0,499.2282747348294,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758141,1.0,63.05206466816264,1.0,52.58226158502888,1.0,45.76072860290282,1.0,41.188021535170144,1.0
player,keep_direction,0.03495705054039403,41.18802153517013,1.0,45.76072860290282,1.0,52.58226158502887,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.952176006523,1.0,187.38937378977127,1.0,498.2258328367483,1.0,498.2258328367483,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758137,1.0,63.0520646681627,1.0,52.58226158502888,1.0,45.76072860290282,1.0,41.188021535170115,1.0
player,keep_direction,0.03535428975108033,41.18802153517013,1.0,45.76072860290282,1.0,52.58226158502887,1.0,63.05206466816264,1.0,80.20217872758138,1.0,111.95217600652298,1.0,187.38937378977127,1.0,497.2233909386671,1.0,497.2233909386671,1.0,187.38937378977127,1.0,111.95217600652298,1.0,80.20217872758141,1.0,63.0520646681627,1.0,52.58226158502884,1.0,45.76072860290282,1.0,41.188021535170165,1.0
